tag,N,k_mode,k_fixed,k_mean,k_sigma,epsilon,steps,transient,n_events,size_max,dur_max,size_q99,dur_q99
fixed_N20000_eps0.01_rep2,20000,fixed,4,4.0,1.0,0.01,300000,20000,74367,18835,501,2389.0,138.0
fixed_N20000_eps0.01_rep0,20000,fixed,4,4.0,1.0,0.01,300000,20000,74007,22340,461,2522.0,141.0
fixed_N20000_eps0.01_rep1,20000,fixed,4,4.0,1.0,0.01,300000,20000,74143,32526,496,2488.5800000000017,140.0
fixed_N20000_eps0.003_rep0,20000,fixed,4,4.0,1.0,0.003,300000,20000,74393,82125,917,11097.400000000009,301.0
fixed_N20000_eps0.003_rep2,20000,fixed,4,4.0,1.0,0.003,300000,20000,74631,72240,899,11072.199999999983,295.0
fixed_N20000_eps0.003_rep1,20000,fixed,4,4.0,1.0,0.003,300000,20000,74592,67132,1262,11230.629999999976,296.0
fixed_N20000_eps0.001_rep0,20000,fixed,4,4.0,1.0,0.001,300000,20000,74477,207891,1815,33437.64000000006,590.2400000000052
fixed_N20000_eps0.001_rep1,20000,fixed,4,4.0,1.0,0.001,300000,20000,75125,125228,1754,33019.279999999984,596.0
fixed_N20000_eps0.001_rep2,20000,fixed,4,4.0,1.0,0.001,300000,20000,74789,200119,1774,32382.959999999963,581.1199999999953
fixed_N20000_eps0.0003_rep0,20000,fixed,4,4.0,1.0,0.0003,300000,20000,75088,503843,4868,100702.01000000036,1324.1300000000047
fixed_N20000_eps0.0003_rep1,20000,fixed,4,4.0,1.0,0.0003,300000,20000,75134,571249,4330,101495.35999999999,1333.3399999999965
fixed_N20000_eps0.0003_rep2,20000,fixed,4,4.0,1.0,0.0003,300000,20000,75448,547561,4755,100729.23999999999,1335.0599999999977
