country_ISO3,N_nodes,E_edges,density_undirected,coords_frac,total_scaled_sci
DEU,400,79800,1.0,1.0,13104057940.0
ITA,107,5671,1.0,1.0,1329347956.0
FRA,101,5050,1.0,1.0,561004484.0
TUR,81,3240,1.0,1.0,561855040.0
PHL,81,3240,1.0,1.0,107547966.0
RUS,78,3003,1.0,1.0,538835474.0
THA,77,2926,1.0,1.0,207412152.0
POL,73,2628,1.0,1.0,555314616.0
GBR,63,1953,1.0,0.06349206349206349,13205308466.0
VNM,63,1953,1.0,1.0,63016188.0
ESP,59,1711,1.0,1.0,289238290.0
UGA,50,1225,1.0,1.0,1195932006.0
DZA,48,1128,1.0,1.0,55594576.0
KEN,47,1081,1.0,1.0,339575758.0
JPN,47,1081,1.0,1.0,69342174.0
ROU,42,861,1.0,1.0,344543976.0
NLD,40,780,1.0,1.0,376196888.0
MDA,37,666,1.0,1.0,418335394.0
NGA,37,666,1.0,1.0,49257864.0
IND,36,630,1.0,0.9722222222222222,7074976.0
IDN,34,561,1.0,1.0,15918590.0
AFG,34,561,1.0,1.0,247790650.0
COL,33,528,1.0,1.0,64141936.0
MEX,32,496,1.0,1.0,7014056.0
DOM,32,496,1.0,1.0,195708032.0
TZA,31,465,1.0,1.0,245242014.0
BGR,28,378,1.0,1.0,362003816.0
MWI,27,351,1.0,1.0,505486996.0
BRA,27,351,1.0,1.0,6681202.0
EGY,27,351,1.0,1.0,18751230.0
PRT,26,325,1.0,1.0,322212834.0
CHE,26,325,1.0,1.0,492092742.0
PER,26,325,1.0,1.0,27447312.0
SRB,25,300,1.0,1.0,463912152.0
KHM,25,300,1.0,1.0,116879772.0
LKA,25,300,1.0,1.0,215366312.0
ARG,24,276,1.0,1.0,19879350.0
COD,24,276,1.0,1.0,204526140.0
UKR,24,276,1.0,1.0,19511936.0
ECU,24,276,1.0,1.0,60313298.0
TUN,24,276,1.0,1.0,67640468.0
VEN,24,276,1.0,1.0,28727520.0
PNG,22,231,1.0,1.0,478752240.0
MNG,22,231,1.0,1.0,202976838.0
LBY,22,231,1.0,1.0,93611652.0
GTM,22,231,1.0,1.0,42807772.0
SWE,21,210,1.0,1.0,119151100.0
HRV,21,210,1.0,1.0,379802366.0
TCD,21,210,1.0,1.0,250532096.0
HUN,20,190,1.0,1.0,159485048.0
CPV,20,190,1.0,1.0,3051549092.0
BTN,20,190,1.0,1.0,883611608.0
YEM,20,190,1.0,1.0,128062776.0
URY,19,171,1.0,1.0,229309650.0
LAO,18,153,1.0,1.0,111736542.0
NZL,18,153,1.0,0.8888888888888888,188567854.0
PRY,18,153,1.0,1.0,184685264.0
IRQ,18,153,1.0,1.0,17694314.0
AGO,18,153,1.0,1.0,128919942.0
SDN,18,153,1.0,1.0,30509014.0
HND,18,153,1.0,1.0,69715680.0
SOM,17,136,1.0,1.0,205436342.0
NIC,17,136,1.0,1.0,73392718.0
BDI,17,136,1.0,1.0,377748850.0
KOR,17,136,1.0,1.0,24667376.0
NOR,16,120,1.0,1.0,208772128.0
GHA,16,120,1.0,1.0,54095846.0
CHL,16,120,1.0,1.0,14499136.0
MYS,16,120,1.0,1.0,23540768.0
MMR,15,105,1.0,1.0,11607146.0
MAR,15,105,1.0,1.0,11183346.0
CZE,14,91,1.0,1.0,39677732.0
SLV,14,91,1.0,1.0,37095908.0
CIV,14,91,1.0,1.0,27435294.0
KAZ,14,91,1.0,1.0,27119550.0
SEN,14,91,1.0,1.0,51403198.0
UZB,14,91,1.0,1.0,39357472.0
JAM,14,91,1.0,1.0,264237508.0
BFA,13,78,1.0,1.0,47466762.0
CAN,13,78,1.0,1.0,9706060.0
LBR,13,78,1.0,1.0,292491640.0
SAU,13,78,1.0,1.0,6240608.0
PAN,13,78,1.0,1.0,135304786.0
ALB,12,66,1.0,1.0,107198162.0
SVN,12,66,1.0,1.0,339298108.0
GEO,12,66,1.0,1.0,39481886.0
JOR,12,66,1.0,1.0,48331866.0
BEN,12,66,1.0,1.0,56674276.0
MRT,12,66,1.0,1.0,99290194.0
DNK,11,55,1.0,1.0,69527544.0
BWA,11,55,1.0,1.0,264676502.0
ARM,11,55,1.0,1.0,40757616.0
MOZ,11,55,1.0,1.0,33470966.0
OMN,11,55,1.0,1.0,12814150.0
ETH,11,55,1.0,1.0,16986802.0
AZE,10,45,1.0,1.0,47921586.0
MKD,8,28,1.0,1.0,98507190.0
IRL,8,28,1.0,1.0,33463586.0
EST,5,10,1.0,1.0,42258814.0
