country_ISO3,gini,N,mean_strength,cv_strength,C_weighted
DEU,0.221369645846514,400,65520289.7,0.41663996989021956,
ITA,0.14375962023024408,107,24847625.34579439,0.2638168394256378,0.6845416016382462
FRA,0.14651720945094712,101,11108999.683168316,0.2649153484595149,0.7503559800364915
PHL,0.23892538594314855,81,2655505.3333333335,0.4702018963626801,0.7021284161841262
TUR,0.15730290059545046,81,13872963.950617284,0.3147944544476075,0.805703232019676
RUS,0.14407227933006675,78,13816294.205128206,0.3209574881477104,0.9068702423004896
THA,0.08018754600511295,77,5387328.623376624,0.14270292594543837,0.7802869242150711
POL,0.08365327098610803,73,15214099.06849315,0.1464302227977284,0.6613799347410653
VNM,0.14735379897007891,63,2000513.9047619049,0.2670864971968403,0.7592225341988545
GBR,0.35459280770153645,63,419216141.7777778,0.6226701335844935,0.3853321053124951
ESP,0.22380587534923574,59,9804687.79661017,0.4576358274904538,0.7291759440449982
UGA,0.1565999906519769,50,47837280.24,0.331170748867329,0.8936083059065658
DZA,0.1690137683875252,48,2316440.6666666665,0.385326672069488,0.8693102352632316
JPN,0.07567197282252758,47,2950730.8085106383,0.14551065480950875,0.8859000523913834
KEN,0.11032154321090985,47,14450032.255319148,0.2024383497254939,0.7712405661465165
ROU,0.1122823583787638,42,16406856.0,0.22044942600605144,0.7411270331997772
NLD,0.19329991879146008,40,18809844.4,0.36692917771704076,0.7363806103157104
NGA,0.10667355270117582,37,2662587.243243243,0.1902802672663149,0.7831718381996325
MDA,0.13768060634788817,37,22612724.0,0.251523588978173,0.719233107472252
IND,0.31151002412509166,36,393054.22222222225,0.5998149447399319,0.7258368416308167
IDN,0.1987018359555419,34,936387.6470588235,0.3554137891529401,0.7795701879226383
AFG,0.14830171261387742,34,14575920.588235294,0.2647022420196359,0.7836659572535593
COL,0.4750661162494756,33,3887390.0606060605,1.1706113336578636,0.7307904070965008
DOM,0.09607137764279393,32,12231752.0,0.1714629269252903,0.8104768378456286
MEX,0.12876751518664806,32,438378.5,0.2366754665389911,0.7602871281188524
TZA,0.07645612994485758,31,15822065.41935484,0.13511848237718596,0.8863624642537116
BGR,0.08121117469893506,28,25857415.42857143,0.15441024380924032,0.8246060249552921
BRA,0.21840607589938324,27,494903.85185185185,0.38775039672545286,0.8102742399158265
MWI,0.10195542201445673,27,37443481.18518519,0.18082340800363922,0.9033374560270728
EGY,0.20574886534356926,27,1388980.0,0.42313506145870705,0.8485878469735316
CHE,0.3589982195485607,26,37853287.84615385,0.6853809044440125,0.7112072673801428
PER,0.1326595254433434,26,2111331.6923076925,0.23153825174721787,0.7517437744993333
PRT,0.17142710446426895,26,24785602.615384616,0.3054235902099481,0.8111291722623873
SRB,0.14014297517259258,25,37112972.16,0.2726044912246903,0.7761607861686828
LKA,0.29752005596864195,25,17229304.96,0.6845904512918685,0.8430906524181997
KHM,0.155542951606716,25,9350381.76,0.29159639185112995,0.9169848014734109
UKR,0.13715567913575225,24,1625994.6666666667,0.29888609826935236,0.9084297479450081
TUN,0.09535750353866071,24,5636705.666666667,0.16755823883231516,0.9065116245563578
VEN,0.14924020010545058,24,2393960.0,0.28422622147575016,0.7750928857295291
ECU,0.24066402680660354,24,5026108.166666667,0.43334600500633585,0.7851167708581598
ARG,0.18676017659866478,24,1656612.5,0.3370920989191242,0.8241469451045923
COD,0.2749086889333559,24,17043845.0,0.514845899115628,0.733954155684851
GTM,0.11857078195987401,22,3891615.6363636362,0.2172993310356626,0.7724650461273438
LBY,0.308258085610578,22,8510150.181818182,0.5880746206600816,0.7818220352640353
MNG,0.16974763485978722,22,18452439.818181816,0.3145723717402191,0.8877357420389989
PNG,0.10749370032854952,22,43522930.90909091,0.1959845860494186,0.8776092517583717
HRV,0.14625121910804276,21,36171653.9047619,0.25765309306118744,0.8359647247039367
SWE,0.08785608397756334,21,11347723.80952381,0.1619186044486046,0.8736152451142435
TCD,0.15161563551674015,21,23860199.61904762,0.2788158407538049,0.9006680068042696
YEM,0.11262970045253431,20,12806277.6,0.1976666473089371,0.875571628109873
HUN,0.09016584049935515,20,15948504.8,0.15821995645614387,0.8289027221260253
BTN,0.06689372883385661,20,88361160.8,0.11782172292105493,0.9466343321672015
CPV,0.23437271052757488,20,305154909.2,0.4618496265951587,0.691409704848853
URY,0.1497542453139123,19,24137857.89473684,0.2628402475236932,0.8363754047686756
AGO,0.13839397062920386,18,14324438.0,0.24355083045275197,0.8865980930540243
NZL,0.6086041102212469,18,20951983.777777776,1.730722945709172,0.7636908784794504
SDN,0.13779802913329156,18,3389890.4444444445,0.25240645979513276,0.8194305119728458
PRY,0.17390658436313816,18,20520584.888888888,0.34596170790515063,0.8527236155180421
IRQ,0.13776315060558122,18,1966034.888888889,0.24153394557047408,0.7130751835015423
LAO,0.12247770295236092,18,12415171.333333334,0.21975376661148904,0.8555463247824849
HND,0.15864597940281633,18,7746186.666666667,0.2834298894299976,0.7614042105472274
NIC,0.16391387366090399,17,8634437.411764706,0.2893806742149274,0.7735253216582799
KOR,0.09286300205726357,17,2902044.2352941176,0.1760960335767557,0.949477165257129
SOM,0.19121925140884646,17,24168981.411764707,0.33441676041614504,0.8358190436065679
BDI,0.12478857844305813,17,44441041.176470585,0.22211104879090285,0.960626342645904
GHA,0.13605865411551193,16,6761980.75,0.24028102838202767,0.908717629757001
CHL,0.11059154662733008,16,1812392.0,0.19417910846196743,0.8567998263776829
MYS,0.14940426964829695,16,2942596.0,0.2731029826917077,0.9151080927013983
NOR,0.205675029092006,16,26096516.0,0.41679380708342045,0.9187643619470908
MMR,0.08978696399614514,15,1547619.4666666666,0.16129976139252056,0.9306737706819121
MAR,0.1312552909776138,15,1491112.8,0.2909726405516892,0.9197465467428623
KAZ,0.11666696429065274,14,3874221.4285714286,0.2723637870301841,0.9326012154581919
SEN,0.055365774268419196,14,7343314.0,0.09793487522646926,0.9537843983730646
UZB,0.08850886415817416,14,5622496.0,0.16275386233810393,0.9787758379229127
SLV,0.11350658560892639,14,5299415.428571428,0.2067391599887007,0.843314578926715
CIV,0.05298166035951459,14,3919327.714285714,0.1003989220384674,0.9814150226902913
JAM,0.12667575620209506,14,37748215.428571425,0.23555575290313888,0.909771074585193
CZE,0.10129520507875803,14,5668247.428571428,0.18977504112459992,0.8938710068754799
BFA,0.0753319197903642,13,7302578.769230769,0.13202310483221166,0.9543085372822504
SAU,0.08438494848825381,13,960093.5384615385,0.15229258583202335,0.9732586841484122
CAN,0.4579249696343553,13,1493240.0,0.9200136048978512,0.8700359727592073
PAN,0.1928827308103101,13,20816120.923076924,0.3438103034808747,0.844064166089174
LBR,0.30152022017554997,13,44998713.84615385,0.666038102122928,0.885033436122741
ALB,0.1826813364579889,12,17866360.333333332,0.3552669417559794,0.8514116833076789
JOR,0.2193076544296193,12,8055311.0,0.40131262136565987,0.8376301861799025
SVN,0.08561166856452576,12,56549684.666666664,0.15246579173516298,0.8927309797221711
MRT,0.16058087434763868,12,16548365.666666666,0.28149754290558415,0.9415898389284222
BEN,0.12150523105050341,12,9445712.666666666,0.21443928501358217,0.9315049387533528
GEO,0.1856605288139815,12,6580314.333333333,0.3352939571721355,0.8504398746048863
BWA,0.0670401464446793,11,48123000.36363637,0.11727917081514301,0.953583388003448
ARM,0.10547620663761902,11,7410475.636363637,0.20533069644372345,0.9635129115890408
MOZ,0.054675951363068194,11,6085630.181818182,0.10325408983693993,0.9304701357060812
OMN,0.060317227439978464,11,2329845.4545454546,0.11272639062890837,0.98920221150176
DNK,0.15328265507918049,11,12641371.636363637,0.27259131621368776,0.8918537712686504
ETH,0.260332023970995,11,3088509.4545454546,0.4760867464845981,0.8828100089770682
AZE,0.15234617652262178,10,9584317.2,0.27081261589747235,0.9702896894582397
MKD,0.1367990955787085,8,24626797.5,0.24609553882465784,0.9355920509465063
IRL,0.09414035901591658,8,8365896.5,0.17047602903568224,0.9286318906470996
EST,0.13225400031340206,5,16903525.6,0.25175539049105605,0.9738903564152661
